2024-10-02 12:28:16,887 - LOGGER - INFO - This is an info message.
2024-10-02 12:28:37,044 - LOGGER - INFO - This is an info message.
2024-10-02 12:28:37,326 - LOGGER - INFO - This is an info message.
2024-10-02 12:28:37,366 - LOGGER - INFO - This is an info message.
2024-10-02 12:28:43,880 - LOGGER - INFO - This is an info message.
2024-10-02 12:28:43,919 - LOGGER - INFO - This is an info message.
2024-10-02 12:28:44,000 - LOGGER - INFO - This is an info message.
2024-10-02 12:28:44,021 - LOGGER - INFO - This is an info message.
2024-10-02 12:28:44,038 - LOGGER - INFO - This is an info message.
2024-10-02 13:23:47,368 - LOGGER - ERROR - right:图片断流
2024-10-02 13:23:50,827 - LOGGER - ERROR - rear:图片断流
2024-10-02 13:24:15,705 - LOGGER - ERROR - right:图片断流
2024-10-02 13:24:15,771 - LOGGER - ERROR - rear:图片断流
2024-10-02 13:24:33,421 - LOGGER - ERROR - transfer_frame_gpu错误:OpenCV(4.9.0) C:\opencv_build_data\opencv-4.9.0\modules\core\src\alloc.cpp:73: error: (-4:Insufficient memory) Failed to allocate 2558400 bytes in function 'cv::OutOfMemoryError'

2024-10-02 13:24:33,835 - LOGGER - ERROR - ImageCaptureProcess---rear:图片读取有问题
2024-10-02 13:24:33,434 - LOGGER - ERROR - ImageProcessWorker2--front:error:
2024-10-02 13:24:33,533 - LOGGER - ERROR - ImageProcessWorker2--rear:error:
2024-10-02 13:24:39,289 - LOGGER - ERROR - ImageProcessWorker2--front:error:unpickling stack underflow
2024-10-02 13:24:39,264 - LOGGER - ERROR - ImageProcessWorker2--rear:error:unpickling stack underflow
2024-10-02 13:24:58,235 - LOGGER - INFO - right, :拼图的图片数量为:31
2024-10-02 13:26:35,313 - LOGGER - ERROR - right:图片断流
2024-10-02 13:26:49,991 - LOGGER - ERROR - right:图片断流
2024-10-02 13:27:17,341 - LOGGER - ERROR - right:图片断流
2024-10-02 13:27:46,267 - LOGGER - INFO - right, :拼图的图片数量为:5
2024-10-02 13:27:54,151 - LOGGER - INFO - right, :拼图的图片数量为:15
2024-10-02 13:28:06,376 - LOGGER - INFO - right, :拼图的图片数量为:58
2024-10-02 13:29:53,843 - LOGGER - ERROR - right:图片断流
2024-10-02 13:31:12,812 - LOGGER - ERROR - right:图片断流
2024-10-02 13:31:34,028 - LOGGER - ERROR - right:图片断流
2024-10-02 13:32:02,318 - LOGGER - ERROR - right:图片断流
2024-10-02 13:32:26,595 - LOGGER - INFO - top, :拼图的图片数量为:2080
2024-10-02 13:32:39,335 - LOGGER - ERROR - right:图片断流
2024-10-02 13:33:34,458 - LOGGER - INFO - top, :拼图的图片数量为:148
2024-10-02 13:33:35,977 - LOGGER - ERROR - right:图片断流
2024-10-02 13:34:15,449 - LOGGER - INFO - top, :拼图的图片数量为:6
2024-10-02 13:34:50,086 - LOGGER - INFO - top, :拼图的图片数量为:258
2024-10-02 13:34:50,577 - LOGGER - ERROR - right:图片断流
2024-10-02 13:35:47,498 - LOGGER - INFO - right, :拼图的图片数量为:9
2024-10-02 13:35:50,025 - LOGGER - INFO - top, :拼图的图片数量为:35
